% Model,Untitled_plug_l_0.09_cap_l_0.9_u_a_5e-9_run_t_5880.mph
% Version,COMSOL 4.4.0.248
% Date,"Mar 10 2015, 11:21"
% Dimension,1
% Nodes,23521
% Expressions,1
% Description,Table graph
% ,
73.5,0.08710388508944845
73.75,-1.7077957433646285
74,-4.037252278172449
74.25,-1.5948091152153139
74.5,-0.5745736273315398
74.75,-2.2648027661038004
75,-1.4541169582128881
75.25,-0.4443252020000534
75.5,-5.058628219279397
75.75,0.25600504980449723
76,0.019461047378108352
76.25,1.4545030207873977
76.5,0.32293056506269036
76.75,-2.02910341254317
77,-2.1247185842886696
77.25,3.125357487081412
77.5,3.1026648419326697
77.75,0.5626368007785189
78,0.3937577919466952
78.25,-3.570099571757617
78.5,-2.589404606286113
78.75,-0.30936311313662745
79,-1.0606262684199288
79.25,-5.01578081800426
79.5,1.9668530387106122
79.75,-0.6700170993686925
80,-0.04198551495555842
80.25,2.7028564733974836
80.5,-2.0413194288605974
80.75,1.4738357946716147
81,1.8822195014837706
81.25,1.7762238682558407
81.5,4.573700312680551
81.75,2.1774797351898734
82,1.439573150805557
82.25,0.7508821699901909
82.5,-0.8556318581632393
82.75,-0.9598032667562988
83,-0.7111391662766489
83.25,0.48831328340380803
83.5,0.44189968043586886
83.75,1.2014084948085495
84,0.9075039951720956
84.25,-0.5489822509865055
84.5,-1.0466201339771433
84.75,-0.06146921269860825
85,-1.0339154601847613
85.25,-1.6960281896927731
85.5,1.5353223033184675
85.75,0.5380700458365707
86,-0.5019156665773438
86.25,-2.0924746197387796
86.5,-0.4750661212180301
86.75,0.08645037790228795
87,-1.969798819949981
87.25,-1.5932070488775758
87.5,1.2667237004732128
87.75,-0.658839978418558
88,-2.4463222781102187
88.25,-1.6667024953745442
88.5,0.7522331983633334
88.75,3.883432257655363
89,-0.24926059791745847
89.25,1.2898008810259955
89.5,1.4261439644175635
89.75,3.1342055958039623
90,-0.5938493682149875
90.25,-2.3990607156764563
90.5,-2.5869402434844964
90.75,-1.4766225939176814
91,-1.2622431599115698
91.25,-1.4032621437224349
91.5,3.51567921143426
91.75,-1.614303536932575
92,-0.2833858617901801
92.25,-0.4312693453727916
